"","sentence","sentiment","score1","emotion","score2"
"1"," The wealth of those societies in which the capitalist mode of production prevails, presents itself as an immense accumulation of commodities, its unit being a single commodity.","anticipation","0.0370233246945576","positive","0.14809329877823"
"2","Our investigation must therefore begin with the analysis of a commodity.","anticipation","0.0999000999000999","negative","0"
"4","The nature of such wants, whether, for instance, they spring from the stomach or from fancy, makes no difference.","anticipation","0.0555247084952804","positive","0.0555247084952804"
"5","Neither are we here concerned to know how the object satisfies these wants, whether directly as means of subsistence, or indirectly as means of production.","anticipation","0.041649312786339","positive","0.041649312786339"
"6","Every useful thing, as iron, paper, andc.","trust","0.166389351081531","positive","0.166389351081531"
"10","So also is the establishment of socially recognized standards of measure for the quantities of these useful objects.","trust","0.0587889476778366","negative","0"
"11","The diversity of these measures has its origin partly in the diverse nature of the objects to be measured, partly in convention.","trust","0.0475963826749167","positive","0.14278914802475"
"12","The utility of a thing makes it a use value.","anger","0","positive","0.110987791342952"
"13","But this utility is not a thing of air.","anger","0","positive","0.124843945068664"
"14","Being limited by the physical properties of the commodity, it has no existence apart from that commodity.","anger","0.0624609618988132","negative","0.0624609618988132"
"15","A commodity, such as iron, corn, or a diamond, is therefore, so far as it is a material thing, a use value, something useful.","joy","0.0434593654932638","positive","0.0869187309865276"
"17","When treating of use value, we always assume to be dealing with definite quantities, such as dozens of watches, yards of linen, or tons of iron.","trust","0.039984006397441","positive","0.039984006397441"
"18","The use values of commodities furnish the material for a special study, that of the commercial knowledge of commodities.","joy","0.0555247084952804","positive","0.166574125485841"
"19","Use values become a reality only by use or consumption: they also constitute the substance of all wealth, whatever may be the social form of that wealth.","trust","0.0768935024990388","positive","0.0768935024990388"
"20","In the form of society we are about to consider, they are, in addition, the material depositories of exchange value.","trust","0.0526038926880589","positive","0.0526038926880589"
"21","Exchange value, at first sight, presents itself as a quantitative relation, as the proportion in which values in use of one sort are exchanged for those of another sort, a relation constantly changing with time and place.","trust","0.0555401277422938","positive","0.0277700638711469"
"22","Hence exchange value appears to be something accidental and purely relative, and consequently an intrinsic value,.e., an exchange value that is inseparably connected with, inherent in commodities, seems a contradiction in terms.","trust","0.0967429861335053","negative","0.0644953240890035"
"25",", a quarter of wheat is exchanged for blacking, silk, or gold, andc.","anger","0","positive","0.166527893422148"
"27","Instead of one exchange value, the wheat has, therefore, a great many.","trust","0.0908265213442325","positive","0.0908265213442325"
"28","But since blacking, silk, or gold andc.","anger","0","positive","0.332778702163062"
"29",", each represents the exchange value of one quarter of wheat, blacking, silk, gold, andc.","trust","0.0713775874375446","positive","0.214132762312634"
"30",", must, as exchange values, be replaceable by each other, or equal to each other.","trust","0.0713775874375446","positive","0.0713775874375446"
"31","Therefore, first: the valid exchange values of a given commodity express something equal; secondly, exchange value, generally, is only the mode of expression, the phenomenal form, of something contained in it, yet distinguishable from it.","trust","0.0294031167303734","positive","0.0294031167303734"
"32","Let us take two commodities,.g., corn and iron.","trust","0.14265335235378","positive","0.14265335235378"
"33","The proportions in which they are exchangeable, whatever those proportions may be, can always be represented by an equation in which a given quantity of corn is equated to some quantity of iron:.g.","trust","0.0312402374258044","positive","0.0624804748516089"
"35","It tells us that in two different things in quarter of corn and cwt. of iron, there exists in equal quantities something common to both.","trust","0.041649312786339","positive","0.041649312786339"
"37","Each of them, so far as it is exchange value, must therefore be reducible to this third.","trust","0.0624609618988132","positive","0.0624609618988132"
"39","In order to calculate and compare the areas of rectilinear figures, we decompose them into triangles.","disgust","0.0666222518321119","negative","0"
"40","But the area of the triangle itself is expressed by something totally different from its visible figure, namely, by half the product of the base multiplied by the altitude.","trust","0.0357015351660121","negative","0"
"41","In the same way the exchange values of commodities must be capable of being expressed in terms of something common to them all, of which thing they represent a greater or less quantity.","trust","0.0312402374258044","positive","0.0624804748516089"
